Type,Layer,τ,Pooling,AUROC_all,AUROC_train,n
kl_t_v,34,1.0,max,0.661,0.728,129
kl_t_v,34,2.0,max,0.578,0.591,129
jsd,34,1.0,rollout,0.572,0.526,129
cosine,34,4.0,roi,0.569,0.458,69
cosine,34,1.0,roi,0.569,0.458,69
cosine,34,2.0,roi,0.569,0.458,69
kl_v_t,34,1.0,max,0.566,0.619,129
jsd,34,1.0,mean,0.566,0.523,129
kl_v_t,34,1.0,topk,0.557,0.539,129
jsd,34,1.0,normw,0.548,0.503,129
jsd,34,1.0,max,0.542,0.577,129
jsd,34,2.0,rollout,0.541,0.52,129
jsd,34,4.0,max,0.54,0.55,129
kl_v_t,34,2.0,roi,0.539,0.566,69
kl_v_t,34,2.0,topk,0.539,0.518,129
kl_t_v,34,1.0,rollout,0.533,0.527,129
jsd,34,2.0,max,0.53,0.557,129
jsd,34,2.0,normw,0.528,0.505,129
jsd,34,2.0,mean,0.528,0.504,129
jsd,34,1.0,attn,0.527,0.502,129
kl_v_t,34,2.0,attn,0.527,0.521,129
kl_t_v,34,4.0,rollout,0.526,0.509,129
kl_t_v,34,1.0,normw,0.525,0.518,129
jsd,34,4.0,rollout,0.525,0.511,129
kl_t_v,34,4.0,max,0.525,0.525,129
kl_v_t,34,2.0,headspec,0.525,0.522,129
kl_v_t,34,1.0,attn,0.524,0.539,129
jsd,34,2.0,attn,0.521,0.486,129
kl_v_t,34,1.0,headspec,0.52,0.527,129
kl_v_t,34,2.0,max,0.518,0.556,129
kl_t_v,34,1.0,mean,0.516,0.513,129
cosine,34,2.0,topk,0.514,0.475,129
cosine,34,4.0,topk,0.514,0.475,129
cosine,34,1.0,topk,0.514,0.475,129
kl_v_t,34,4.0,rollout,0.513,0.501,129
kl_v_t,34,1.0,normw,0.513,0.535,129
jsd,34,4.0,normw,0.51,0.495,129
kl_v_t,34,2.0,normw,0.509,0.512,129
kl_t_v,34,4.0,normw,0.509,0.495,129
kl_v_t,34,1.0,mean,0.509,0.53,129
jsd,34,1.0,headspec,0.508,0.483,129
kl_t_v,34,2.0,rollout,0.508,0.49,129
kl_t_v,34,4.0,mean,0.508,0.495,129
jsd,34,4.0,mean,0.507,0.492,129
kl_v_t,34,4.0,mean,0.504,0.491,129
jsd,34,2.0,headspec,0.502,0.452,129
jsd,34,4.0,attn,0.501,0.446,129
kl_v_t,34,2.0,mean,0.501,0.507,129
cosine,34,4.0,rollout,0.501,0.472,129
cosine,34,1.0,rollout,0.501,0.472,129
cosine,34,2.0,rollout,0.501,0.472,129
kl_v_t,34,1.0,rollout,0.5,0.527,129
cosine,34,1.0,max,0.499,0.504,129
kl_t_v,34,2.0,mean,0.499,0.48,129
cosine,34,4.0,max,0.499,0.504,129
cosine,34,2.0,max,0.499,0.504,129
kl_v_t,34,4.0,attn,0.498,0.464,129
kl_t_v,34,2.0,normw,0.498,0.475,129
kl_v_t,34,4.0,normw,0.498,0.488,129
kl_t_v,34,4.0,attn,0.497,0.434,129
kl_v_t,34,4.0,max,0.497,0.54,129
kl_v_t,34,2.0,rollout,0.494,0.506,129
jsd,34,4.0,headspec,0.49,0.429,129
kl_t_v,34,4.0,headspec,0.487,0.415,129
cosine,34,1.0,mean,0.486,0.453,129
cosine,34,4.0,mean,0.486,0.453,129
cosine,34,2.0,mean,0.486,0.453,129
kl_v_t,34,4.0,headspec,0.485,0.439,129
kl_t_v,34,1.0,topk,0.484,0.499,129
cosine,34,1.0,normw,0.483,0.453,129
cosine,34,2.0,normw,0.483,0.453,129
cosine,34,4.0,normw,0.483,0.453,129
kl_prompt,34,1.0,mean,0.483,0.43,129
kl_t_v,34,2.0,attn,0.481,0.431,129
kl_t_v,34,1.0,attn,0.479,0.45,129
kl_t_v,34,2.0,headspec,0.471,0.418,129
kl_v_t,34,4.0,roi,0.471,0.441,69
kl_t_v,34,1.0,headspec,0.469,0.437,129
jsd,34,1.0,topk,0.459,0.419,129
kl_t_v,34,4.0,topk,0.448,0.439,129
cosine,34,1.0,attn,0.444,0.432,129
cosine,34,4.0,attn,0.444,0.432,129
cosine,34,2.0,attn,0.444,0.432,129
jsd,34,4.0,roi,0.439,0.389,69
jsd,34,1.0,roi,0.439,0.365,69
kl_t_v,34,4.0,roi,0.439,0.392,69
jsd,34,2.0,topk,0.438,0.42,129
jsd,34,4.0,topk,0.437,0.44,129
cosine,34,1.0,headspec,0.435,0.427,129
cosine,34,4.0,headspec,0.435,0.427,129
cosine,34,2.0,headspec,0.435,0.427,129
kl_v_t,34,4.0,topk,0.435,0.432,129
jsd,34,2.0,roi,0.433,0.354,69
kl_v_t,34,1.0,roi,0.417,0.41,69
kl_t_v,34,2.0,topk,0.404,0.375,129
kl_t_v,34,2.0,roi,0.38,0.34,69
kl_t_v,34,1.0,roi,0.349,0.406,69
