prompt,signal,split,n,n_errors,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,aurc,excess_aurc_norm,mannwhitney_p,effect_size_r,sens_80spec,tpr_fpr05,tpr_fpr10,tpr_fpr20,ece,ece_ci_low,ece_ci_high,cal_pearson,cal_spearman,brier,calibration_in_sample
P1,kl_t_v_L34_tau1.0_max,all,129,26,0.6609410007468259,0.5220372475306165,0.771571634740088,0.32931151456865193,0.18252114610961,0.4777444930978227,0.14253606017370632,0.6701983285383649,0.005744305123165322,0.22279019598917696,0.4230769230769231,0.07692307692307693,0.2692307692307692,0.4230769230769231,0.08652462209527509,0.08459627155501839,0.18542607055070282,0.7478261958052894,0.7890240316738918,0.15883530677614022,False
P1,kl_t_v_L34_tau1.0_max,val+test,52,6,0.568840579710145,0.2,0.9375,0.3528478365434887,0.07670022675053849,0.7790083851926819,0.10286978894412405,0.8834246930131096,0.2981008035941255,0.07546578193508896,0.5,0.16666666666666666,0.5,0.5,0.21221109198964616,0.18996227182800368,0.30912732100045764,-0.05023169260901125,0.13708602019211083,0.13937928934434368,False
P1,kl_v_t_L34_tau1.0_max (espejo),all,129,26,0.5664675130694548,0.4326923076923077,0.69329040519809,0.29294431899345963,0.1674494835773404,0.45504995623426747,0.1657468001623976,0.7999115893409166,0.14868120096338328,0.0920108001997065,0.3076923076923077,0.11538461538461539,0.19230769230769232,0.3076923076923077,0.07409182730206175,0.08597343424372864,0.182754542155789,0.28335273997495536,0.5321681029763117,0.16440904029955944,False
P1,entropy,all,129,26,0.6239731142643763,0.4910138707339184,0.7388381151029693,0.2765270843671932,0.16201813069188295,0.4029505279853718,0.1542784432376645,0.7358206567175085,0.02579657867608074,0.17161564981068853,0.38461538461538464,0.038461538461538464,0.10192307692307695,0.38461538461538464,0.11633408642081329,0.09943520687439235,0.21076688636453147,0.09365786375439461,0.6121212121212121,0.1644686071914702,False
P1,one_minus_msp,all,129,26,0.6239731142643763,0.4910138707339184,0.7388381151029693,0.2765270843671932,0.16201813069188295,0.4029505279853718,0.1542784432376645,0.7358206567175085,0.02579657867608074,0.17161564981068853,0.38461538461538464,0.038461538461538464,0.10192307692307695,0.38461538461538464,0.11598429742518666,0.0989294895981333,0.21064517438313107,0.019739393966937566,0.6121212121212121,0.16432772253966565,False
P1,energy,all,129,26,0.5597460791635549,0.43231905397095083,0.6798635429939773,0.2422814246865424,0.14030694335389463,0.35816022631740335,0.18301215586733727,0.8963990597315552,0.17452511035185653,0.08270633725816315,0.3076923076923077,0.038461538461538464,0.07692307692307693,0.3076923076923077,0.11144797753839103,0.08321676447800477,0.182645629786245,0.2689349521455297,0.1813385658494095,0.16386872532924854,False
P1,rank(kl_t_v_L34_tau1.0_max)+rank(1-MSP),all,129,26,0.6975354742345033,0.5960908202781644,0.7871262952680469,0.37461114616656055,0.22758907946898502,0.5445343877772361,0.09538144296151944,0.40667466822124443,0.0009582005121814648,0.2734478275598019,0.3076923076923077,0.15384615384615385,0.19230769230769232,0.3076923076923077,0.14485635081955991,0.10453751095991094,0.20714537087684742,0.5489878909273453,0.6564911374796382,0.15886764481566726,False
P4,kl_t_v_L34_tau1.0_max,all,129,28,0.6142149929278641,0.4877296723193483,0.7243742178949161,0.2769042285396746,0.1691413433505584,0.3919836960614601,0.16271015077126597,0.7150904750427842,0.03270056857214877,0.16247513686924497,0.32142857142857145,0.03571428571428571,0.07142857142857142,0.32142857142857145,0.10197393718795487,0.08415736251951172,0.18972101638175976,0.47906362295075433,0.46709936649691375,0.16815596937155514,False
P4,kl_t_v_L34_tau1.0_max,val+test,52,8,0.53125,0.24594429521560404,0.7450212581489994,0.18892867176514877,0.06741788762324306,0.3578562666471471,0.1625254289508959,1.0620460056636853,0.3950042071703398,0.03868765174674982,0.25,0.0,0.0,0.25,0.21919662250842104,0.16548294283577705,0.3001161927157879,0.10988832190091127,0.10241831129983783,0.14139953040150105,False
P4,kl_v_t_L34_tau1.0_max (espejo),all,129,28,0.5038896746817538,0.3775328992779599,0.6287836359302326,0.2294216000428377,0.1386889197452659,0.3363194228415833,0.22677534152311635,1.0509646318697268,0.47608236718845576,0.005533208995547042,0.2857142857142857,0.03571428571428571,0.10714285714285714,0.2857142857142857,0.09708163783544072,0.07785419324146793,0.1869917013755292,0.0758446552346416,-0.012712834523274564,0.17749623410529167,False
